tweet,label
abin fahimta shine da sumayya ta bar mahmud to da angama film kuma har gobe ana irin wannan love din shi dai madmud is selfish kuma dama so sone amma sonkai yafi allah ya kara basira,0
allah yasa yana cikin aljannatul fiddausi sauran leaders kuma da basuda imani allah ya bimana hakkimmu cikin gaggawa,0
allah ya kawo miji na gari dearie,0
masha allah gaskiya bamabamai sundinatash mungudiwa allah amma baba kakara dubawa anachiki yanayi yunwa gaskiya,0
muna taya mutanen garin farin ciki,0
allahu akbar allah yasa muna da rabo muma albarkan annabi saw,0
a a ka buge late comer kenan lallai angaisheka first in the history late comer yazo ya kasa komai u deserve a medal for this,0
ameen amma dai yaka mata mu canja halinmu ko allah zai tausaya mana ya yaye mana wannan annobah,0
wallahi ban gane ta ba sai da ya yi magana allah ya kara kaifin basira oga director,0
sadau inasonki zan aureki,0
allah yakawo mana karshen wannan an no ban,0
toh allah ya sawwaqe ‍️,0
allah mun tuba ka yafe mana,0
he usually use to say engineer ya streaming kuwa nace yallabai yana yana tapia dai dai allah ya sa ka aljanna,0
my best aunty rahama,0
allah ya baka dangana,0
uwata itace komi gareni ina tunawa da irin umarnin ta gareni kan yin zumunci da yin alkhairi ga alumma da kuma kyautatawa iyayena da yan uwa na komai kankantar abinda nake dashi uwata abar alfaharina,0
allah sarki allah ya bata lafiya mu kuma allah ya kara mana lafiya amen,0
allah cigaba da tsareshi,0
cewa nayi innalillahi wainna ilaihirajiun ‍️‍️‍️,0
allahu akbar allah ka saka maka allah ka isarma wannan cin mutun ci yayi yawa wallahi wallahi sai kun ga abin ku tunda ku kayi ma wannan bawan allah wannan cin zarafi allah shi kara isarma sa dun daraja manzon allah saw amin,0
bbc allah yasa adauki mataki bawai gano hanyarba ️,0
ubangiji ya jaddada rahama gareshi,0
allah ya kawo karshen wannan tashin hankali wlh gaba yan nijeriya wasun mu bama kyautawa yanz menen amfanin tashin hankali da zubar da jini kaico allah ya shiryemu,0
allah ya shigar mana gaba,0
allah kashiga tsakanin nagari damugu ameen,0
allah ya kawo zaman lafiya a kasarmu mai dorewa,0
pla follow back saboda makiya sunci bakisan inayiba more success my best actress,0
akalla lafiya sarki,0
subhanallah ‍️allah jikan musulmai,0
gyada mai sihiri aba yan nigeria shinkafa mudu biyu a fhasa store aga hudu,0
yayata allah ya shimiki albarka ameen ashe ma youre better than rest when you were there enjoying life at its peak haka sukai ta tsine miki ina suke my sister toh in sun isa su naimo nudes naki mana,0
congratulations didi congratulations on your grad allah sanya albarka much love,0
allah ya cigaba da karemu daga dukkanin mai sharri,0
wanka da sarauta sun kare a kano izza da kwalliya shine kadai ya kasaita kuma ita ce sarauta allah ya taimaki sarki sunusi ii,0
gaskiya ne muma yanxu mukejin dadin kallon pogba a united,0
wai da gaske a prison take tweeting allahu yasa ba haka bane,0
allah ya karbi shahadar su amen,0
na gode hajiya madam kabusu,0
wannan haka ya ke,0
masha allahu fa dakyau,0
woow gsky rahma wakar tayi dadi sosai nima nasha rawa sosai,0
baba aiki yayi kyau allah ubangiji ya saka maka da kwatankwacin abinda kayiwa yan nigeria,0
allah yasa da rabonmu,0
ameen babban mutum,0
allah ya cigabada da tona asirin su ai suna dayawa,0
allh bar zumunci,0
allah ya shiryaki shiri na addinin musulunci ameen,0
masha allah allah yaƙara yi muna kariya daga azzalumai yakuma yi muna maganin su,0
masha allah allah yabawa sauran lpy,0
ameen yar lele,0
am sorry to say gaskia ne yadace nafade satabbas mu masoyiwa shugba biyayya neamma yanzo yadace mufadi kurafinmufatana allah yabasa ikon gane gaskia dayin adalci yakuma karesa daga makiya allah ya kara masa nisan kwana bissalam,0
alhmdllh har naji alamar murar ta kusa tafiya katan hudu kawai zai warkar da wannan murar jinjina ga rahama,0
ان لله وان اليه راجعون allah sarki allah ya jikansa da rahama in namu ta zo allah yasa mu cika da imani,0
yayi dai daidomin muna zargin twitter da bawa yan tawaye damar tunzura yan kasa suci zarafin gwanmati tareda daure musu gindi,0
allah ya takaita manaamin,0
anzo gidanku anyi draw amma you guys are celebrating hala madrid,0
allah ya kaimu raida lafiya,0
you are welcome yallabai,0
wooh allah kara dankon zumunci,0
lala kuka lala na hangota nacce ulala crush everyday ki huta sarauniyar mataa,0
kuma har yanzu ba labarin sauki mai yuwuwa su kuma sun irin wadannan adduoin sama miyan allah ka duba bayin ka ka kawo mana dauki,0
allah yakareki daga abubuwanda zasu jawo rigima,0
saw ️ allah ya jikan musulmi,0
ameen kuma ya bani ikon haduwa dake idan kinzo kinkinau gidan washa last time i missed which was during eid festival more greatness sadau,0
hahaha allah yasa dai harda naka baba gandollar,0
mungode malam falalu,0
to muma mutanen kano ai yakamata kizo ki bude branch ai ko kinfi son mutanen kd din next,0
allah ya kyauta daebuh allah ya esa wollai‍️,0
tayi kuskure kuma ta nemi rahamar allah amma korar ta ba dai dai bane allah ya yafe mana baki daya,0
hakika duk wanda yayi kuskure kuma yayi nadamar abinda yayi to allahu gafurul rahim allah ya mana gafara baki daya amin,0
allah yakara daukaka my heroine,0
nine in allah yayarda,0
inna lillahi wa inna ilaihi rajiooon ‍ what a big lost allah ubangiji ya masa gafara ya kuma sanyya aljanna ta xame masa masauki ya kuma bamu wanda xai maye mana gurbinshi tabbas mun yi rashi,0
allah sarki allah ya yaye muku wannan ciwon kuma masu yaudaranku sabida wannan ciwon su sani suma ba dabararsu ce tasa suke da lafiya allah yasa jinyarku ya zamo muku kaffara allah yasa ya zamo sanadin shiganku aljannah,0
ikon allah toh allah ubangiji ya kiyaye na gaba ramadan mubarak ️️️️,0
hm to allah dae y jiqansu da rahama amma wannan qasar tamu da kace aikin alkhairi zakayi wlh maqiya allahn can bazasu barkaba,0
ameen ameen aunty rahama banga ramadan basket ba fahh,0
wannan rayuwar kabi allah daya kace ka rayuwa nan yau kai ni wataran sai lvr mai hnkl kawai yasan da hk allah ya qanata da rahama,0
happy sallah allah ya maimaita mana da rai da lfy,0
ya ubangiji allah ka amsa adduar bayinka,0
xamuyi haquri mu dinga siya sbd muda mutu ka raba,0
azumi yau alhamdulilahi fatanmu allah yakarbi ibadunmu allah yasa dukkanin musulmi munaciki waenda allah zai enta cioin wannan wata mai albarka na rahama,0
duk dokar daza susa susa amma talaka yana cikin wani hali har yanzu basa maganar ya talakawa suke kwana saidai ya zaa kara matse talaka wama tashauna illa an yasha allahu rabbul alamin da allah muka dogara,0
allahu yasa ya huta abin da yayi nagari allahu ya bashi lada,0
lahira ma free ake zuwa ai,0
allah yatemaki sarki allah ya kaika turakar dabo,0
da kyau sarki irin wan nan shi yafi cancanta da irin ku,0
tuba nake oga umar amman fa ya min kuskus cewa biki saura yan sati,0
gwamnan borno karike gaskiya allah zai tsareka daga sharin dan adam albarka annabi da alqurani,0
inaga saidai zunubi mai gudana allah ya karemu daga taimakekeniya cikin yada alfasha,0
allah yasa mutuwar hutuce gareshi,0
good mah sister rariyah hahahaha,0
allah ya dawo dashi daidai,0
allah ya kiyaye mu da yaran mu da zuriyar mu gabadaya ameen,0
wannan abun ya wuce siyasa innal muslimu akkul muslimumusulmi dan uwan musulmine dan allah mudinga sashi a addua allah yabaiyanashi,0
barka da rana hausa,0
allah ya gafarta mata yasa ya huta tareda iyayenmu dasuka rigamu,0
dakyau babbar aunty,0
yawwa yaayaa na nagode,0
muna fatan allah yasa wannan hasashen da kwararrun masana sukayi ya tabbata gaskia ameen allah ya fitar damu cikin talauci,0
sunan mu daya da maryam dinnan but amma i cant kutsiiallah ya bada zaman lfya,0
kaidai allah ya kawo mana karshen sa,0
sunanan dayawa kam allah ya kawo musu nagari,0
innalillahi wainna ilaihirajiun ya ubangiji ba dan muba dan halin mu ba allah mun tuba ka kawowa kasar mu zaman lfy ya allah ana kashe mutanen da basu ji baba su gani ba allah ka sassauta manaya allah duk wanda yake da sa hannun a kisan nan allah ka wulakanta shi,0
dadai yafiye masa,0
ai ko baku ce ba dama ai ansan ku zaku farayi talaka bawan allah ya allah ka iya mana kaine gatan mu,0
we in yola we are safe insha allahnd i hope this shitcovidiot will end before allah yasa dai ba karya ake yi mana don a saci kudin mu bah,0
wakar sa ta mu gargadi mai gina ramin mugunta dr mamman shata rahimahullah,0
sarkin kano ma yayi hudubar akan dadin mulki,0
allah ubangiji ya kawo mana karshen yan taadda da masu taimaka masu,0
ina yinki fati washa,0
idan hakane kuwa allah yasawa baba da alkhairi,0
tsohowa me kyau,0
kayi fida da phone din kuma naga kafito da itta daka kasanka allah yamana tsari da itta ya baka juriya da dauriya kan aikin ka ameen,0
allah yaqara musu albarka,0
damn rukayya na bada allah yah kara basira director,0
subhanallahallah ya karbi shahadar su,0
corona cup ya tabbata kano sai munje champion league tunda muna na uku a table up kano,0
allah yajikansa da rahama yasa mutuwa hutuce agareshi,0
kai masu madafin iko kuji tsoran allah wlh,0
dan jarida kayi murna kaine mutum nafarko dayaga aljani kuma bai mutu ba,0
wannan hakane duk dan adam na bukatar kyau tatawa a rayuwa,0
‍️‍️‍️hhhhhh wannan fah shine ake qira da koda kudin ka sai da rabon ka waiyyazu billah allah kashige mana ya hayyu ya qayyum,0
dan allah kar kuyi mana haka,0
amma fah na taya shi murna,0
antina ansha kyau,0
da so samu ne kice duk duniya ni kikoso,0
don allah adunga shiga mai kyau life is short dont forget about who you really are please,0
tohallah kadai yasan manufarsu sesuidan zuwansu alkhairine garemu allah ya basu saaidan kuma akasin hakane allah yasa su kasa zama su kuma inda suka fitoallah ka tsaremu da kasarmu daki daya amin,0
allah ya kawo mana qarshen wannan annobar,0
yah allah yah allah yah allah rahma sadau dai nakeso ita ce burina,0
allah ya yi mana jagora,0
allah ka gafartamawa mal kasakamishi da alkhairi akan ayyukanshi na alkhairi,0
anty sadiya kiji tsoron allah daii,0
giwa sarkin aiki,0
jiya nayi mafarkin ya aurekiy,0
allah kabamu shuwa gabanni masu sonmu a najeriya,0
darektan darectoci kenan allah ya kara lafiawadata da basira munajin dadin yadda kake caza mana kai a labarinaseries always unpredictable,0
banga makeup ba sosai amman fah naga kinfi kyau a hakan ma eid mubarak ️,0
allah yajikan maam,0
allah nima abinda naso nace dazu kenan,0
ranar hausa masha allah,0
allah ka nuna mana hanyan gaskiya kabamu ikon binta kakuma nuna mana hanyan qarya ka tsare mu da binta,0
insha allah zamu koma mukara ibadah,0
muna roko ga ubnagiji yakaremu da yan uwa musulmi ako ina allh yzaunar da nigeria lpy,0
lukuman yafo dacewa d auren sumayya a shirin film din labarina,0
muna goyon bayan su duk inda suke,0
hbd allah yayi albarka ameen,0
kin danyi kyau,0
kai ka ji magana ta ilimi alaji allah ka azurta mu da ilimi,0
allah ya isa our feelings for this great man is always touched by these ppl where is the tolerance here allah ka saka mana su kuma masu yi allah ka shirye su kamar yadda ka shirya dan holland wanda yayi abaya in kuma ba masu shiryuwa bane to allah ka tsine musu,0
masha allah allah ya kara tona asirin miyagu masu cin amanar kara,0
zaayi fira da hod kenan im not going to miss this insaha allah,0
allah ya bada zaman lfy da zuria dayyiba,0
sai maigida allah ya karama daukaka,0
allah ya kawo mana karshen tashe tashen hankula a kasarmu dama duniya baki day,0
️wargewarge na miji mai ɗaci kaman bula mai santsi ya ɗan zagi mai ƙaikayi kaman daɓe mai kaishi kaman ƙafa na balkisu sambo shata muhammadu ikon allah allah ya jiƙan mammalo,0
dan allah acikin yayan alhaji asamo manaa bebe dan shima zai bamu nishadi,0
yadda yakeyin nan yana matukar burgeni wlh ina son ganinshi akan wannan halin nashi dan yasin nima hakan take banson raini,0
allah kadai yasan nawane suka zama jiya a maiduguri allah kaji kan musulmi,0
allah yasa ka fara tausayin talakawan ka sanadiyar hakan musamma mutanan maiduguri da suke rasa iyalan su sanadiyar boko haram,0
pls masu taimakawa kuci gaba da taimakawa allah zai saka muku allah ya kawomuna karshen wannan taaddanci allah ya sakawa wayannan mutane,0
wannan doka tayi kyau dafatan kasata ma zatayi koyi dasu,0
nima zan iya cewa ameem sister duk da cewa kinyi birthday ko gayyata babu,0
ogan gaske sha zama sha hutu i salute,0
masha allah allah ya taya su riko muna murna,0
ya allah kanaji kuma kana gani ya allah ka kawo dauki wa musulunci da musulmai,0
idan kuka daina zata ci gaba insha allah,0
marhaba da namijin kokarin da kukeyi naganin shirin yazo izuwa gare muna godiya allah yakara basira,0
mai zai haura n kenan allah kayi ma wadannan mutane abunda sukayi ma yan nigeria,0
congrats rahamah i admire your courage,0
kinga da irin dressing dinnan kike da tini nayi wuf dake dik daku yan film a wafcekuke kawai shaidar liman ce babu hbd,0
allah subhanahu wataala yakawomana karshen wannan taddanci yakawomana xaman lpy akasarnan ya rabb,0
kina wuta a kanny wood irin sosai dinnan,0
allah sarki allah ya gafartawa ahmad s nuhu,0
allah yasa muyi lapiya,0
mahaifiyata itace uwa ta gari da ta bani tarbiya na gari wanda a ko yaushe nake alfahari da ita allah ya jaddada rahma a kushewarki amin,0
gaskiya kam wlh tafi kyau idan tayi shigar musulunci,0
ina taya su murna,0
barka dai sarauniya,0
allah ya jikan wadanda suka rasa rayukansu acikin wannan mummunan alamari ya kamata hukumomin da aka dourawa nauyin lura da ginegine su dinga shiga unguwan ni don duban lafiyan gidaje ba sai gini ya rufta su tashi su kai agaji ba,0
hhhh original i baya buya allah ya karawa baba lafiya da nisan kwanaya kuma kare shi daga sharri masu hassada da zubbace zubbace ameen thumma ameenmuch love mrpresident sir in u we trust again insha allah fatan alkairi,0
su godewa allah ma ba nigeria bane,0
ba karya kowa yabi kihuta,0
allah yakawomana sauki cikin gagawa allah muntuba,0
kanon dabo nan gani nan bari kanon dabo ikon allah,0
abokina muhammad auwal allah yasanya alkairi allah yasa har ta dauniya kayi gwarzo,0
allah kai mana maganin wannan taaddanciameen,0
innalilahi wainna ilaihi rajun allah ya shiryemu shirin addinin musulinci,0
insha allah sarauniya,0
so sad news this t allah ya jaddada rahama gareshi,0
hhhhhhhhh mama tache soyayya tayi karfi allah yabarku tare,0
kai hotonnan ya ban tausayi ana talauci allah ya ciyar damu,0
wai allah yayi,0
allah ya taya ka riko ya shugaba,0
nidai wlh kina burgeni yaushe zakizo kano kiyi birthday party,0
kaje ka yita istingfar tunda ta yafe maka,0
ameen babban darekta godiya da fatan alhairi,0
masha allah jinjina zuwa ga mai girma gwamnan jihar borno farfesa babagana umar zulum allah ya taimaki mai taimako allah ya kare mana kai khadimul ummah din talakawan jahar borno fatan alkhairi babagana umar zulum khadimul ummah,0
allah akbar ya allah yay mana maganin corona next year mucika a hajj ya allah,0
hey jarumar mata,0
allah ya saka da alkhairi ya tsareka daga sharrin masu sharri,0
wannan reply din naka yayi,0
allah yakyauta na gaba,0
fatan alheri da kuma tunasar da shi game da tsaro kuma wani dalili yasa mayan ayyukan yankin arewa ke tafiyar hawainiya koh ya lura da haka dua allah ya tayashi jagoranci,0
innaa lillahi wa innaa ilaihi rajiun allah kana gani kayi mana maganin makiyan masoyin ka,0
the most popular hausa man in the world i dey salute oga kawai ka fito takarar shugaban kasa kaga kai ke da arewa,0
congrats ina taya murna,0
toh allah yakiyaye allah yasa yafadi alkhairi,0
kun manta da dan kishin kasane ba dan koshin al ummar kasaba,0
duniya yana maki dadi kam,0
lots of lovetoo muna tareko wuta kika shiga muna bayanki,0
wow kinyi kyau over my mesmerize talented rahama,0
innalillahi kano sun rasa manya kalakala attajirai mallamai shuwagabaninyankasuwamasu madafin iko talakawa da sauransu allah ya kawo mana karshen wannan masifar ya sa mu dace,0
hmm allah sarki duniya ka kara haure allah yana nan wallahi,0
allah yayi mana katangar karfe da wannan annoba,0
allah ya yafi mana laifin mu gaba dayan mu rahma ban taba jin kina burgeni ba sai ganin wanna video hakan ya nuna alaman cewa kinsan me ki keyi mutun yayi laifi koma ya nima gafaran allah sai ki cigaba da addu a allah ya yafi mana ameen,0
tazo mujita kurunkuss kan dan bera allah yasa da gaske ne yadda ake ta kiran babu kudi a kasa amma yanz ace har ansamu wanda zaa bawa talaka kyauta kayabun da kamar wuya fa amma allah yasa hakane,0
allah yakaramai lpy imani da tsoran allah,0
toh baga irintaba daukan rai kota ina yaallah mun tuba,0
akramakallah namba ai wing ne allah ya ƙara wa mallam basira tsawon rai lafiya da rayuwa mai albarka,0
sai masu gida baba ya kapaa tarihi,0
yauwa allah yaqara thona masu asirinsuyeah,0
su rahama manya,0
ya salam allah ubangiji ya baka lpy da sauran musulmai gaba,0
my babban director gaskiya wannan shiri yana matukar qayatarwa allah ya kara daukaka da basira amma fa ka kira ruwa domin an koma gidan jiya ko ya zata qarewa ohodama kowa yaci duzu lalle yayi aman gashi,0
kuma ni wlh ke nake so,0
allah ubangiji mai rahma da jinqan bayinsa da tausayinsu ka kare wannan baiwa taka da sauran duk wani dan adam dole balai yayi yawa astagfirullah waatubu ilaika ya allah,0
namu ba kalan nasu bane allah ya maka shugaban qasa ranka ya dade wishs you all the best,0
saboda tsaro ba don tsoro bah shi gado gaskiya,0
muna adduar allah yabashi lafiya mukuma allah ya karemu,0
ai ko dubai tafi duk qasashen da kika qirgosu nan dubai qarshene mallama,0
allah ya taimakeki allah ya tsars gabanki da bayanki allah ya kareki daga sharrin ji sharrin gani duniya da lahira allah ya taimakeki a kan duk kan aiyukanki na alkairi duni da rahira aunty babba,0
ikon allah ana bikin duniya ake nakiyama,0
ubangiji allah ya qara basira,0
allah yasa mutuwa hutu ce a agareshi,0
alheri insha allah,0
farin tsoho muna alfahari dakai,0
ya allah ace kamar yanda ja keda tattalin arziki wai shine sbd rashin zuciya zata amsa tallafi a wajen wasu kaiii allah yy mana taimakon gaggawa ya azirta mu da shuwagaba nagari,0
to fa inda ranka ka sha kalloallah ya kyauta,0
mudai wannan rayuwar bazamu ce komiba sai rokon wanda ya haliccemu yakawo mana dauki,0
yanzu na gama karanta labarin tabbas suna hannunku amma ance daya ya mutu ai a asibiti gaskia mutanen wannan unguwar kun kyauta sosai,0
wow zaren yayi kalar yard din ubangiji allah ya sanya alkairi,0
kai wanan abu dame yai kama ya allah kaga halin da nigeria take ciki allah kakawoman dauki daga wancan sai wannn mutane ba tausayi,0
innanillahi wa inna ilaihi rajioon wai don allah iyayenki suna raye don allah zakiso kiga diyarki tayi irin wannan shiga dan allah kinaso ko bayan rayuwarki a nuna ma wanda baisanki ba wannan hoton allahu ya shiryemu baki dayayasa ki kuma gane cewa wannan ba wayewa ban,0
muna adduar allah yakawo muna sauki,0
allah karufamana asiri karka barmu muji kunyar duniya data lahira amin,0
ina ruwanku hahaha da abinda allah ya hore mana,0
gsky inason films dinka sosai amma ni inada shawara sosai,0
allah ya sanya wa auren su albarka da zurriya masu albarka,0
hmm cire larabci bashi zai sa musulunci ya kare a nıgerıa ba dan allah yayi alkawarin tsare addinin sa and inshaa allah islam will dominate the world not only nigeriajahilai kawai jinin firauna wanda basason zaman lfy,0
masha allah tabarakallah wankan sallah yayi kyau allah ya sanya albarka,0
a nan muna tare,0
anjima zaa fitar in shaa allah wait for it h,0
no wonder kike da kyau ke yar barca ce shiyasa,0
fata nagari lamiri kunsan ba a jima da kafa iswap ba kuke mana fatan a sake samar da wata sabuwar kungiyar allah ya kare mu,0
allah yasa hakane mafi alkhayry kuma allah ya karbi ibadun mu allah ya maimaita mana ramadan da yawa cikin koshin lafia,0
allah kara tsare gaba,0
allah ya biya baukata,0
nifa hotonnan ya tunamun da marigayi gen abacha to alla dai ya kyauta makwanci,0
hausawa nacewa kano ta dabo tunbin giwa koda dami kazo anfika ina rokon allah ya canza wannan karin magana akan halin da ake ciki yanxun game da cutar mashako ta koma na dabo kundun kaza kodami akazo anfiku,0
ni dake mun dace,0
dan allah ku sake dubawa da kyau,0
masha allah mudai muna jira allah ya nuna mana da rai da lafia,0
inna lillah wa inna ilaihi rajiun allah ya jikanshi da rahama ya allah ka jikan iyayen mu ka kyau karshen mu aamin ya rabbi,0
kayi dai dai muhammadu wallahi muna godiya sosai allah ya kara maka lfy,0
ehh mana allah y karawa baba lpy,0
mutumin ki nefa,0
mutumina kayi kasuwa fa yau fa,0
yy kyau namai murna,0
teacher uban karatu,0
allah yayi jagora didi love,0
gaskiyane kadunar mu abin alfaharin mu,0
allah yai musu rahama ameen,0
alheri ne gareku da kuma iyalan ku,0
kin nuna kinfi fishi hankali da tarbiyya anan,0
wayyo dadi to menene a koyar war dan allah,0
allah ya kawomana karshen wannan masifakuma muna fatan gwamnati zatayi duk mai yuwuwa gorin kamo masu hannu awannandakuma hukuntasudomin kaucewa faruwan haka a gaba allah ya kyauta,0
allahu akbarmay allah forgive him and grand him to aljanna firdausi,0
an xo wurin allah ya sa irin wanda xaa musu ne xaa ma sauran mabukata alluran amma mu kam a kai kasuwa,0
subhanallahi ya allah ka kawo mana agaji,0
fatan mu ayi shi lafiya a gama lafiya allah ya zaba mana shuwagabanni na gari masu son mu,0
allah ya jikan su da rahma allah ya kiyaye na gaba,0
kuji tsoron allah ️ mutun ko mutum pls,0
allah kar yabasu damar abunda su keso su aekata amin,0
muna godiya allah ya kara sanin makamar aiki,0
hmmmm muma dai allah ya dora sojin nigeria da suka damu kasar mu da kewaye allah ya kare mana su ameen,0
oga alamari yana dadi fa allah ya bamu saa boss,0
allah kawo mijin aure,0
mu de fatan mun alkairi ga dukkan sarakuna mu,0
duniya sabowa babykamaye kahuta,0
kar a manta a taho mana da tsaraba baba,0
allah ya kara daukaka taska,0
allah akbar wasu nafada akan garri,0
gsky rahma ki godewa allah kina da masoya sosai may allah protect u i love u so much,0
yayi abin kirki kwarai dagaske yau kam fita tayi rana,0
senafi kowa murna,0
zatasa ahaifi wanda takashe yawa kenan to allah kawo masu albarka amin,0
lahaula walakauwata illabillahil azim allah yakawo man karshe wannan masiba a duniya baki daya dan darajar annabi,0
allah yasa bakarya nigeria keyiba,0
kai wannan ba wasa ba hope it wont harm anyone,0
fatan alkhairin allah agareki ubangiji allah ya tsareki sharrin mutum da aljan,0
hmmm shure shure baya hana mutuwakowai malaman kwarai su gwabza da wannan sadaukin zamanin nanwanda yayi silar hada kan izala da dariqa a tsawon shekara suna zagi da kafirta juna allah ya nuna mana gaskiya gaskiya ce komai daci kuma ya bamu ikon binta,0
ramu wannan dogon karan hancin naki har zai karye ai looking stunning tho,0
allah dai yasa kada rijiya tabada ruwa guga ta hana,0
hehehehhe abun yamun dadi fa,0
hmmmmm kamar gaske nidai haryau banga me corona nan ba amma kullum sai ance mutum kaza sun kamu to mudai allah yakaremu kaimana tsari da ita inkuma babu cutar nan janyota ake to allahya dorawa masa ja mana ita,0
director film yayi kyauallah ya qara basirashikenan an zo wurinku kai shi cell‍️,0
dan allah a saya mana makamai da kuɗinnan abawa maaikatanmu na staru bama sturon kurona kidnapping muke sturo da kuma bandits,0
yakamata kasashen duniya su say hannu sutaima kama kasar libya,0
allah ya bamu alkhairin sa,0
ya allah ka kawo ma musulmai dauki a duk inda suke allah kada ka basu ikon cin galaba akan musulmai,0
mungode da time da kika bada even though ban ce komai bah but i really enjoy your qanda allah all the best for tomorrow die heart fan here,0
baby dan tsaya akwai zance daya don kin hadu gaskiya kuma kin iya kwalliya,0
an gama in dai a kannywood ne allah ya karo kauna ke da hrithik,0
tsire nan zai dadi,0
allah yah idda nufi baba yayi maka jagora ameen summa ameen,0
love you rahama rahamar allah ️,0
toh allah ya tabbatar maka da wannan kudirin naka na alkhairi sukuma sauran gwamnoninmu allah yasa suyi koyi dakai adalin gwamna ina ma ace a jigawa nake,0
innalillahi wa inna ilaihi rajiun subhaballah allah ya tsare mu ya karemu so suke su kashemu walh,0
allah yakarawa sarki lfy makiyanka fadawanka wlhi,0
wayyo dadi kasheni,0
allah yayi muna tsari da wannan,0
bbc kenan kuci gaba da bamu nishadi,0
kaima masani amma wallai this is the best hausa series,0
ya allah ka azurta ni kamar dangote aliko,0
this is awesome allah ya qara basira,0
tabbas munyi arasa rashin dan wasa mai barkwance allah yasa ka huta yasa aljanna ce makoma ameen,0
innalillahi wainna ilaihirajiun allah ya kawo mana dauki,0
burina shine na samu aiki kam,0
allah yataimaka ya bada lada wayanda suke son suyi kumerh basu samu sunyi hakanba allah ya basu yakuma sa muna daga cikin wayanda zaa yan ta acikin watanan mai albrka ameen,0
allah yakaremu daga sharrinta ameen,0
allah ya karbi ibadar mu,0
allah sarki wannan mata ba abin matasa zasu ce sai godiya domin ta taimaki gayu,0
kiso mai sonki,0
abashi dama ya goda koh allah zai saka ah dace,0
wit misbahuakaanfara barka da jummaa iya wuya tare mutane na kano,0
allah mun tuba allah ka yafe mana allah ya karemu saboda annabi saw,0
minister barka da warhaka,0
kina da hakuri sosai allah ya kara daukaka haka rayuwa take sai kafuskanci kalubale da jama,0
allah ya kyauta ni banga amfanin soke sars ba wlh anfiso a bar yahoo boys suna chutar da mutane kenan allah ya kyauta ‍️‍️,0
wannan abu yayi muna goyan baya,0
allah ya mayar masu da sabon arziki,0
muna goyon bayesu sosai akan hk,0
yayi kyau hakan yamun sugar,0
gyada mai sihiri abara aga biyu a murza aga hudu a hure aga malaekun dadi suna tashi,0
kar ya yarda a cuce shi ya kafe sai inda karfin shi ya kare,0
